ngram,ngram_codes,n,observed,expected,z_score,p_value
Flat → Up → Short → Up,"(0, 6, 3, 6)",4,2,0.2,3.7,0.0001077698211303657
Frequency_Jump → Up → Up,"(5, 6, 6)",3,1,0.1,3.64,0.00013371806012130172
Complex → Up → Frequency_Jump,"(4, 6, 5)",3,1,0.1,3.64,0.00013371806012130172
Short → Down → Chevron → Flat,"(3, 1, 2, 0)",4,1,0.1,3.64,0.00013371806012130172
Down → Chevron → Flat → Short,"(1, 2, 0, 3)",4,1,0.1,3.64,0.00013371806012130172
Complex → Short → Flat → Complex,"(4, 3, 0, 4)",4,1,0.1,3.64,0.00013371806012130172
Up → Short → Short → Up,"(6, 3, 3, 6)",4,3,0.5,3.62,0.00014866825463621947
Chevron → Complex → Down,"(2, 4, 1)",3,1,0.1,3.51,0.00022023681236926773
Flat → Down → Down,"(0, 1, 1)",3,1,0.1,3.51,0.00022247059073943198
Flat → Chevron → Complex → Short,"(0, 2, 4, 3)",4,1,0.1,3.51,0.00022247059073943198
Short → Short → Short,"(3, 3, 3)",3,25,12.7,3.51,0.00022432095225055626
Short → Short → Short → Short → Short,"(3, 3, 3, 3, 3)",5,6,1.2,3.5,0.0002334979289443373
Up → Complex → Short → Up,"(6, 4, 3, 6)",4,1,0.1,3.39,0.0003479809496371722
Down → Up → Complex,"(1, 6, 4)",3,1,0.1,3.28,0.0005131443641958056
Short → Flat → Complex → Chevron,"(3, 0, 4, 2)",4,1,0.1,3.28,0.0005131443641958056
Short → Flat → Up → Chevron → Short,"(3, 0, 6, 2, 3)",5,1,0.1,3.28,0.0005172700168368793
Up → Frequency_Jump → Flat,"(6, 5, 0)",3,1,0.1,3.18,0.0007315956502171872
Flat → Flat → Flat → Chevron,"(0, 0, 0, 2)",4,1,0.1,3.18,0.0007315956502171872
Short → Short → Flat → Complex → Short,"(3, 3, 0, 4, 3)",5,1,0.1,3.18,0.0007315956502171872
Complex → Down → Chevron,"(4, 1, 2)",3,1,0.1,3.18,0.000736890421937586
Chevron → Complex → Chevron → Short,"(2, 4, 2, 3)",4,1,0.1,3.18,0.000736890421937586
Complex → Chevron → Short → Short → Short,"(4, 2, 3, 3, 3)",5,1,0.1,3.18,0.000736890421937586
Short → Flat → Complex → Short → Short,"(3, 0, 4, 3, 3)",5,1,0.1,3.18,0.000736890421937586
Short → Flat → Up → Short → Up,"(3, 0, 6, 3, 6)",5,1,0.1,3.09,0.0010061357169260932
Flat → Complex → Short → Short → Short,"(0, 4, 3, 3, 3)",5,1,0.1,3.09,0.0010127315865802178
Short → Up → Chevron → Up,"(3, 6, 2, 6)",4,1,0.1,3.0,0.0013498980316301035
Complex → Short → Up → Short,"(4, 3, 6, 3)",4,2,0.3,2.92,0.001775732403852981
Short → Up → Chevron → Chevron,"(3, 6, 2, 2)",4,1,0.1,2.85,0.002181029947375124
Up → Short → Up → Flat → Short,"(6, 3, 6, 0, 3)",5,1,0.1,2.85,0.002213262928959958
Complex → Chevron → Short → Flat,"(4, 2, 3, 0)",4,1,0.1,2.84,0.0022243920695890207
Short → Chevron → Flat → Chevron,"(3, 2, 0, 2)",4,1,0.1,2.84,0.0022243920695890207
Complex → Short → Up → Short → Short,"(4, 3, 6, 3, 3)",5,1,0.1,2.71,0.0033698607852614693
