png,noise_rank,tier,traditional_label,wav_stem,det_start_s,det_end_s,call_length_s,principal_freq_hz,tonality,mean_power_db,det_prob_max,hdbscan_label,hdbscan_probability,umap_x,umap_y,verdict,couple,nn_center_gap_s,nn_edge_gap_s,nn_hdbscan_label,nn_start_s,nn_end_s
c0_100_manual_review_Cluster_4_131205_1000_m6fm6_chunk_106_1p464s.png,100,manual_review,Cluster_4,131205_1000_m6fm6_chunk_106,1.46432,1.5069866666666667,0.0190666666666665,85.0,0.1964773812979366,-99.79229049396749,0.8866204619407654,0,1.0,7.9057317,8.93562,usv,m6fm6,0.19626666666666637,0.14933333333333332,2.0,1.65632,1.70752
c0_101_auto_accept_Cluster_17_131217_1400_m3fm2_chunk_288_1p840s.png,101,auto_accept,Cluster_17,131217_1400_m3fm2_chunk_288,1.839786666666667,1.88672,0.0319733333333334,90.45454545454544,0.1813066076419048,-102.12523385692434,0.9245181679725648,0,0.8381857880881867,7.3425455,8.6725235,usv,m3fm2,0.10880000000000023,0.05973333333333364,2.0,1.7288533333333334,1.7800533333333333
c0_102_auto_accept_Cluster_17_131205_1000_m1fm1_chunk_217_1p537s.png,102,auto_accept,Cluster_17,131205_1000_m1fm1_chunk_217,1.5368533333333334,1.72032,0.1526400000000001,65.97222222222223,0.180129006361501,-100.15709857330748,0.9310542345046996,0,0.9773613926815607,9.807804,9.248175,noise,m1fm1,,,,,
c0_103_auto_accept_Cluster_17_131205_1000_m4fm4_chunk_039_0p022s.png,103,auto_accept,Cluster_17,131205_1000_m4fm4_chunk_039,0.0221866666666666,0.0392533333333333,0.0143,68.65671641791045,0.1914443859200585,-102.29307166461037,0.9936071634292604,0,0.8699545820401976,8.244537,9.8969345,noise,m4fm4,0.0832,0.0341333333333333,2.0,0.0733866666666666,0.1544533333333333
c0_104_auto_accept_Cluster_17_131211_1000_m4fm2_chunk_096_1p025s.png,104,auto_accept,Cluster_17,131211_1000_m4fm2_chunk_096,1.0248533333333334,1.06752,0.0246133333333331,57.85714285714286,0.1944687595682086,-102.09846278426552,0.952012538909912,0,0.6367449967281861,7.9006405,7.72488,usv,m4fm2,0.16853333333333342,0.0981333333333334,2.0,0.8285866666666667,0.92672
c0_105_auto_accept_Cluster_17_131211_1800_m1fm4_chunk_093_0p649s.png,105,auto_accept,Cluster_17,131211_1800_m1fm4_chunk_093,0.6493866666666667,0.6920533333333333,0.0287733333333333,45.0,0.1863238934173644,-102.8118868399304,0.9412495493888856,0,1.0,9.353363,8.300198,usv,m1fm4,0.22826666666666662,0.17920000000000003,0.0,0.8712533333333333,0.92672
c0_106_auto_accept_Cluster_17_131211_1800_m1fm4_chunk_189_0p854s.png,106,auto_accept,Cluster_17,131211_1800_m1fm4_chunk_189,0.8541866666666666,0.9309866666666666,0.0690666666666667,50.71428571428572,0.1885986580738426,-102.79940195646223,0.9816367030143738,0,1.0,10.110355,8.903087,usv,m1fm4,0.3050666666666666,0.21333333333333337,0.0,1.14432,1.2509866666666667
c0_107_auto_accept_Cluster_17_131208_1000_m5fm5_chunk_138_1p959s.png,107,auto_accept,Cluster_17,131208_1000_m5fm5_chunk_138,1.9592533333333333,1.97632,0.0138666666666664,95.45454545454548,0.1877331024208443,-103.69349198819104,0.9031559228897096,0,0.9592004203587208,7.3426466,9.022963,noise,m5fm5,0.07466666666666666,0.017066666666666563,2.0,1.844053333333333,1.9421866666666667
c0_108_auto_accept_Cluster_17_131209_1000_m3fm3_chunk_195_0p022s.png,108,auto_accept,Cluster_17,131209_1000_m3fm3_chunk_195,0.0221866666666666,0.15872,0.13516,61.89839572192515,0.1865947879750523,-99.54397457099104,0.9997376799583436,0,0.9240251898540682,9.156728,7.4405575,noise,m3fm3,,,,,
c0_109_auto_accept_Cluster_17_131211_1800_m2fm3_chunk_208_0p052s.png,109,auto_accept,Cluster_17,131211_1800_m2fm3_chunk_208,0.0520533333333333,0.1245866666666666,0.0498666666666666,55.88235294117647,0.1890934339435751,-101.25761657011984,0.9968619346618652,0,0.6398865532558436,9.641805,9.067956,usv,m2fm3,0.17493333333333333,0.034133333333333404,-1.0,0.15872,0.3677866666666666
