candidate_id,threshold_sweep_proba
2024-09-30_11-21-40_0000044_00002905,0.30373898
2024-09-30_11-21-40_0000044_00003003,0.39316472
2024-09-30_11-21-40_0000044_noise_987ab09e,0.041583266
2024-09-30_11-21-40_0000044_noise_87ab41e0,0.11338293
2024-09-30_11-21-40_0000044_noise_8f81641e,0.15234408
2024-09-30_11-21-40_0000044_noise_d1c025fb,0.054455407
2024-09-30_11-21-40_0000044_noise_dffecb25,0.1876229
2024-09-30_11-21-40_0000044_noise_8c0aab73,0.029944424
2024-09-30_11-21-40_0000044_00001524,0.22899097
2024-09-30_11-21-40_0000044_00002076,0.39771008
