threshold,accuracy,precision,recall,f1,specificity,tp,fp,fn,tn
0.25,0.6942148760330579,0.6483516483516484,0.921875,0.7612903225806452,0.43859649122807015,59,32,5,25
0.3,0.6776859504132231,0.6470588235294118,0.859375,0.7382550335570471,0.47368421052631576,55,30,9,27
0.35,0.6528925619834711,0.6375,0.796875,0.7083333333333333,0.49122807017543857,51,29,13,28
0.4,0.628099173553719,0.6507936507936508,0.640625,0.6456692913385828,0.6140350877192983,41,22,23,35
0.45,0.5785123966942148,0.6585365853658537,0.421875,0.5142857142857142,0.7543859649122807,27,14,37,43
0.5,0.5785123966942148,0.76,0.296875,0.42696629213483145,0.8947368421052632,19,6,45,51
0.55,0.5206611570247934,0.875,0.109375,0.19444444444444445,0.9824561403508771,7,1,57,56
0.6,0.47107438016528924,0.0,0.0,0.0,1.0,0,0,64,57
