recording,n_samples,n_usv,n_not_usv,usv_ratio,accuracy,precision,recall,f1,mean_conf,mean_conf_correct,mean_conf_incorrect,pixel_mean,pixel_std,pixel_min,pixel_max
2024-09-30_11-19-09_0000008.wav,15,8,7,0.5333333333333333,0.4666666666666667,0.5,0.875,0.6363636363636364,0.38824815,0.3803007,0.39520216,65.77964,43.37484,0.0,250.0
2024-09-30_11-19-55_0000017.wav,17,11,6,0.6470588235294118,0.5294117647058824,0.6,0.8181818181818182,0.6923076923076923,0.4239631,0.4295665,0.41765922,65.604004,42.413807,0.0,251.0
2024-09-30_11-19-12_0000009.wav,14,4,10,0.2857142857142857,0.6428571428571429,0.4444444444444444,1.0,0.6153846153846153,0.31513724,0.24336666,0.44432425,65.14735,41.225388,0.0,251.0
2024-09-30_11-18-27_0000003.wav,27,15,12,0.5555555555555556,0.6666666666666666,0.625,1.0,0.7692307692307693,0.432982,0.4510671,0.39681178,64.999115,41.266563,0.0,250.0
2024-09-30_11-19-15_0000010.wav,8,5,3,0.625,0.75,0.7142857142857143,1.0,0.8333333333333333,0.42750177,0.4106127,0.47816896,65.35225,41.830788,0.0,251.0
2024-09-30_11-19-58_0000018.wav,12,6,6,0.5,0.8333333333333334,0.75,1.0,0.8571428571428571,0.39001194,0.37501764,0.46498352,65.14165,41.423286,0.0,251.0
2024-09-30_11-21-40_0000044.wav,16,8,8,0.5,0.875,0.875,0.875,0.875,0.2516951,0.24924834,0.2688224,65.12684,41.468372,0.0,251.0
2024-09-30_11-20-07_0000020.wav,12,7,5,0.5833333333333334,0.9166666666666666,1.0,0.8571428571428571,0.923076923076923,0.25961164,0.2677004,0.17063528,65.24187,41.66124,0.0,251.0
