dim,max_abs_cohens_d,max_d_pair,r_principal_freq,fires
z_0,0.40354792276943197,"('3452', 'lab_131204')",-0.11198604842127423,False
z_1,0.2139944927814114,"('9252', 'lab_131204')",0.05273328804905004,False
z_2,0.535597535207575,"('9252', 'lab_131204')",-0.12313150560405871,False
z_3,0.2273285137680366,"('5970', '9252')",-0.2068890759300682,False
z_4,0.1617357305456715,"('9252', 'lab_131204')",-0.002316355874746402,False
z_5,0.37210170097461637,"('5970', '9252')",0.04640493985310052,False
z_6,0.224645385267437,"('3452', '5970')",0.06729330573695522,False
z_7,0.08473622246009295,"('9252', 'lab_131204')",0.07246576964173036,False
z_8,0.26683875804448254,"('9252', 'lab_131204')",-0.025923977834639064,False
z_9,0.27811314157532735,"('9252', 'lab_131204')",-0.070288500786946,False
z_10,0.20245708236098395,"('3452', '9252')",0.008933702449922901,False
z_11,0.2930806791949337,"('9252', 'lab_131204')",-0.02505327145476178,False
z_12,0.3460592339779521,"('3452', '9252')",-0.11150183919983558,False
z_13,0.24515880613912064,"('5970', '9252')",-0.19867419049892615,False
z_14,0.10314216401197092,"('5970', 'lab_131204')",0.024946514190901284,False
z_15,0.408797359653357,"('9252', 'lab_131204')",0.041835477834642094,False
z_16,0.21626042112490979,"('3452', '5970')",0.05526339994168835,False
z_17,0.3832111363827591,"('5970', 'lab_131204')",0.26446728854307855,False
z_18,0.46375156791108363,"('5970', 'lab_131204')",0.15437124528788682,False
z_19,0.3335631955125,"('3452', '5970')",0.0389424179370635,False
z_20,0.7693189349993841,"('3452', 'lab_131204')",-0.1699289120223467,False
z_21,0.3417416942996852,"('9252', 'lab_131204')",-0.05372355235397112,False
z_22,0.3942661705689752,"('5970', '9252')",-0.0745986621456824,False
z_23,0.20400508236099532,"('5970', 'lab_131204')",-0.04085540266886999,False
z_24,0.6483674326292961,"('5970', '9252')",0.35645032167294166,False
z_25,0.34006322046677345,"('5970', '9252')",-0.008901056758703929,False
z_26,0.538728744203983,"('9252', 'lab_131204')",-0.04146875947095208,False
z_27,0.5403039723454326,"('9252', 'lab_131204')",-0.215139020321941,False
z_28,0.31569388551396127,"('5970', 'lab_131204')",-0.15007342536424792,False
z_29,0.3335724411820609,"('3452', '9252')",0.05939497118026321,False
z_30,0.5918025171507547,"('5970', 'lab_131204')",-0.08149698586822647,False
z_31,0.7270621272465729,"('3452', 'lab_131204')",-0.23510543969266898,False
