epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl,lr
1,6257.038410519151,6048.651766469419,208.3866541191669,495.84056485083795,418.2051241826352,77.6354398771365,0.00025
2,393.7247995771704,318.6943603445186,75.03043925466389,334.3098125897245,263.92446994342015,70.38534266388362,0.00025
3,317.6894293519299,249.16628892725765,68.52314045989162,306.64139433830013,238.92867609542637,67.71271821650492,0.00025
4,298.042006231221,234.9225447578232,63.11946160106802,292.2276189777708,234.22391903784967,58.0036996762324,0.00025
5,286.3171895198305,228.73017799654795,57.58701175661081,282.48406201903174,223.8522938319615,58.631768318914595,0.00025
6,281.36729939191656,227.29081910975876,54.07648000040291,273.88223600607313,225.22281059581564,48.659425515733005,0.00025
7,276.59693887559786,225.27021392452463,51.32672506993861,271.3916185792141,223.03275682299918,48.35886237148865,0.00025
8,270.85730100214585,220.94026131252986,49.917039760054706,278.50941527054607,224.52145318941038,53.98796187018469,0.00025
9,266.5601742981626,217.88693591259286,48.67323824689351,263.2872381254275,216.4049344392416,46.88230419598417,0.00025
10,268.76393275362733,217.824630332282,50.93930244555861,263.7447022117228,214.6077630882439,49.13693937837803,0.00025
11,264.2341062322354,215.32837824042795,48.905727890551745,263.2268244659846,215.7080039099065,47.51882110103484,0.00025
12,260.0425147812145,212.75102658280045,47.29148828646247,258.721546682894,212.54308062434745,46.17846568938224,0.00025
13,257.4438708922248,210.8938196867928,46.55005119222475,259.5021215693742,213.91178500267768,45.59033674248902,0.00025
14,243.75302683130826,211.33038609191578,32.422640781215485,640.6246263354604,567.3060703541277,73.3185560868083,0.00025
15,236.3107110764756,209.97053180921304,26.34017920893049,299.56415079705727,270.454224793043,29.109925898538755,0.00025
16,234.9311707458672,208.75266312975037,26.17850765904043,244.73207468481107,214.8615042690857,29.870570398146107,0.00025
17,233.73956936298597,207.59250337982618,26.147065725618198,239.36945198867727,210.48753652264995,28.88191582640195,0.00025
18,232.98276377577213,206.78306115574736,26.199702717978624,256.7136887229533,217.40709496423395,39.30659389056368,0.00025
19,232.27680899680038,205.9768230264337,26.299985928543716,250.64254732615387,213.74276462677986,36.89978284000801,0.00025
20,231.66123556499184,205.36532425481462,26.29591118470823,237.8805160170876,214.50325209094632,23.37726419861965,0.00025
21,231.1802056912941,204.7652640543573,26.41494164794288,243.7961903585267,210.56151359311997,33.23467700712143,0.00025
22,230.8129629056989,204.39311891391796,26.419844057817233,240.55042906730407,212.25162928005517,28.298799620246008,0.00025
23,230.29200590544193,203.77086824746195,26.521137521504944,236.70184125768424,210.50257251229704,26.199268965127832,0.00025
24,229.9968110539634,203.40509016473928,26.591720727435167,238.5411623062626,218.09385856944846,20.44730380493375,0.00025
25,229.62548864224848,202.99818351732398,26.627305290015254,244.9644535609654,213.67837538477463,31.286078426695088,0.00025
26,229.31038041068032,202.6613251938685,26.64905518049184,237.54991659700596,207.43631969399166,30.113596885435044,0.00025
