wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_21-23-35_0003132,0,0.994987,1.105920,110.93,0.323553,0.170900,,2026-02-08T21:52:27.666265
2024-09-30_21-23-35_0003132,1,1.122987,1.380892,257.91,0.514916,0.246281,,2026-02-08T21:52:28.069766
2024-09-30_21-23-35_0003132,2,1.427818,1.493087,65.27,0.000000,0.000000,added_manually,2026-02-08T21:52:28.547278
2024-09-30_21-23-35_0003132,3,1.553237,1.592057,38.82,0.000000,0.000000,added_manually,2026-02-08T21:52:28.952777
