session,n_wavs,n_files_with_events,file_yield_pct,events_total,events_per_file_mean,events_per_file_ci_lo,events_per_file_ci_hi
USV1,130,4,3.076923076923077,5,0.038461538461538464,0.007692307692307693,0.07711538461538445
USV2,1664,18,1.0817307692307692,24,0.014423076923076924,0.0078125,0.022235576923076924
USV3,1602,114,7.116104868913857,288,0.1797752808988764,0.1404338327091136,0.22411048689138574
USV4,1665,17,1.0210210210210209,18,0.010810810810810811,0.006006006006006006,0.016216216216216217
USV5,1620,22,1.3580246913580247,25,0.015432098765432098,0.009259259259259259,0.022839506172839506
USV6,1594,42,2.6348808030112925,58,0.03638644918444166,0.024466750313676285,0.04956085319949812
USV7,1672,38,2.272727272727273,51,0.030502392344497607,0.019138755980861243,0.044871411483253576
USV8,1633,63,3.85793018983466,128,0.07838334353949786,0.05511328842620943,0.10532761788120025
