png,noise_rank,tier,traditional_label,wav_stem,det_start_s,det_end_s,call_length_s,principal_freq_hz,tonality,mean_power_db,det_prob_max,hdbscan_label,hdbscan_probability,umap_x,umap_y,verdict,couple
c1_122_auto_accept_Cluster_14_131211_1000_m2fm1_chunk_151_0p338s.png,122,auto_accept,Cluster_14,131211_1000_m2fm1_chunk_151,0.33792,0.4445866666666667,0.0715,45.00000000000001,0.43010080637238,-89.54922495828284,0.9999736547470092,1,1.0,-0.139919,-2.554319,usv,m2fm1
c1_123_auto_accept_Cluster_9_131211_1000_m2fm1_chunk_180_0p022s.png,123,auto_accept,Cluster_9,131211_1000_m2fm1_chunk_180,0.0221866666666666,0.1885866666666666,0.14145,44.66019417475728,0.4912389083120151,-85.22502094274793,0.9999995231628418,1,1.0,0.1361688,-2.830872,usv,m2fm1
c1_124_auto_accept_Cluster_14_131211_1000_m2fm1_chunk_324_1p836s.png,124,auto_accept,Cluster_14,131211_1000_m2fm1_chunk_324,1.83552,1.97632,0.12033,49.47368421052632,0.4620625122628379,-85.71140673219604,0.9999985694885254,1,1.0,-0.037492536,-2.7442358,usv,m2fm1
c1_125_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_028_1p780s.png,125,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_028,1.7800533333333333,1.97632,0.16056,45.824956130758,0.404059530226901,-87.70189009171622,0.9999985694885254,1,1.0,-0.1476136,-2.7860193,usv,m3fm1
c1_126_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_032_1p900s.png,126,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_032,1.89952,1.97632,0.0569333333333335,49.64285714285714,0.622397745824528,-77.75600175404972,0.9998682737350464,1,1.0,0.41560736,-2.9204469,usv,m3fm1
c1_127_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_038_1p336s.png,127,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_038,1.33632,1.5112533333333331,0.1237866666666667,47.4808928565737,0.3198848047857329,-93.45350466352866,0.9999818801879884,1,0.7830457419517401,-0.49151543,-2.6074612,usv,m3fm1
c1_128_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_039_0p022s.png,128,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_039,0.0221866666666666,0.1373866666666666,0.0986099999999999,45.93023255813954,0.4507104256393642,-85.88098928623005,0.9999048709869384,1,1.0,-0.031939533,-2.652272,usv,m3fm1
c1_129_manual_review_Cluster_14_131211_1000_m3fm1_chunk_047_0p295s.png,129,manual_review,Cluster_14,131211_1000_m3fm1_chunk_047,0.2952533333333333,0.5597866666666667,0.1631699999999999,54.831709244143326,0.5764821234618474,-75.35216770713465,0.9993346333503724,1,1.0,0.40789634,-3.1060247,usv,m3fm1
c1_130_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_084_1p818s.png,130,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_084,1.8184533333333333,1.97632,0.1340000000000001,48.13432835820896,0.3464998571140643,-91.65319766509374,0.9999969005584716,1,0.9385829293015912,-0.38211682,-2.5890079,usv,m3fm1
c1_131_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_085_0p022s.png,131,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_085,0.0221866666666666,0.10752,0.06419,48.31081081081082,0.4774585354992897,-85.15040275166434,0.9999954700469972,1,0.9091252492089998,0.07888363,-2.5818696,usv,m3fm1
c1_132_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_085_1p601s.png,132,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_085,1.6008533333333332,1.805653333333333,0.1316599999999999,42.10526315789474,0.2964436353008988,-93.84742757479798,0.9996071457862854,1,0.5337797144753602,-0.5676963,-2.6601677,usv,m3fm1
c1_133_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_089_1p848s.png,133,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_089,1.84832,1.97632,0.1164,49.16981486487822,0.4066183222843593,-89.96910538566769,0.9999996423721312,1,1.0,-0.31751367,-2.5512433,usv,m3fm1
c1_134_manual_review_Cluster_14_131211_1000_m3fm1_chunk_090_0p022s.png,134,manual_review,Cluster_14,131211_1000_m3fm1_chunk_090,0.0221866666666666,0.1117866666666666,0.081,46.85430463576159,0.4224338655020098,-89.59228115795017,0.9999995231628418,1,0.9075544502693368,-0.17727178,-2.5158432,usv,m3fm1
c1_135_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_098_0p423s.png,135,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_098,0.4232533333333333,0.5640533333333333,0.10332,48.49440485609088,0.5840353898284072,-79.72939702122747,0.9994227886199952,1,1.0,0.32171628,-2.9840415,usv,m3fm1
c1_136_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_100_0p517s.png,136,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_100,0.51712,0.7304533333333333,0.1390233333333334,48.8197424892704,0.4067865081762904,-88.49369572143449,0.9999940395355223,1,1.0,-0.22755896,-2.6494434,usv,m3fm1
c1_137_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_118_1p750s.png,137,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_118,1.7501866666666666,1.97632,0.1433999999999999,47.5,0.5003152909200171,-77.66211511651856,0.9999079704284668,1,1.0,0.23635784,-3.027644,usv,m3fm1
c1_138_auto_accept_Cluster_9_131211_1000_m3fm1_chunk_172_1p772s.png,138,auto_accept,Cluster_9,131211_1000_m3fm1_chunk_172,1.77152,1.97632,0.17933,47.36842105263159,0.657654859974194,-65.82138720387701,0.9954472184181212,1,1.0,0.4818647,-3.1602027,usv,m3fm1
c1_139_auto_accept_Cluster_14_131211_1000_m3fm1_chunk_173_0p022s.png,139,auto_accept,Cluster_14,131211_1000_m3fm1_chunk_173,0.0221866666666666,0.1160533333333333,0.0698133333333333,47.25806451612904,0.6535706501037961,-69.30687540640602,0.9990604519844056,1,1.0,0.44003713,-3.0323312,usv,m3fm1
c1_140_auto_accept_Cluster_14_131211_1000_m4fm2_chunk_012_0p611s.png,140,auto_accept,Cluster_14,131211_1000_m4fm2_chunk_012,0.6109866666666667,0.7133866666666666,0.0697666666666666,49.07407407407408,0.3766800930228597,-88.61335847360606,0.99995756149292,1,0.8826901357174846,-0.28179187,-2.4022098,usv,m4fm2
c1_141_auto_accept_Cluster_14_131211_1000_m4fm2_chunk_030_0p474s.png,141,auto_accept,Cluster_14,131211_1000_m4fm2_chunk_030,0.4744533333333333,0.6024533333333333,0.0966,55.66298342541437,0.5685173488090056,-79.27491195862231,0.9999992847442628,1,1.0,0.40358952,-2.8854287,usv,m4fm2
c1_142_manual_review_Cluster_14_131211_1000_m4fm2_chunk_038_0p410s.png,142,manual_review,Cluster_14,131211_1000_m4fm2_chunk_038,0.4104533333333333,0.5640533333333333,0.1247666666666665,50.757575757575765,0.4741436652676681,-83.27256978191873,0.9999785423278807,1,1.0,0.07269021,-2.834244,usv,m4fm2
c1_143_auto_accept_Cluster_14_131211_1000_m4fm2_chunk_039_0p325s.png,143,auto_accept,Cluster_14,131211_1000_m4fm2_chunk_039,0.32512,0.4573866666666666,0.10797,47.82608695652175,0.3134828802763083,-90.38270592733436,0.9999940395355223,1,0.8388159479864766,-0.42334184,-2.5544794,usv,m4fm2
c1_144_auto_accept_Cluster_14_131211_1000_m4fm2_chunk_039_0p496s.png,144,auto_accept,Cluster_14,131211_1000_m4fm2_chunk_039,0.4957866666666666,0.6408533333333334,0.1088699999999999,49.21875,0.3490323113996712,-88.57805405671894,0.999998927116394,1,0.922909611585132,-0.3580199,-2.5471325,usv,m4fm2
c1_145_auto_accept_Cluster_14_131211_1000_m4fm2_chunk_063_1p857s.png,145,auto_accept,Cluster_14,131211_1000_m4fm2_chunk_063,1.8568533333333328,1.97632,0.09976,51.57142857142857,0.5100034589496152,-80.78876937650277,0.9999898672103882,1,1.0,0.20333421,-2.809934,usv,m4fm2
c1_146_auto_accept_Cluster_14_131211_1000_m4fm2_chunk_064_0p022s.png,146,auto_accept,Cluster_14,131211_1000_m4fm2_chunk_064,0.0221866666666666,0.12032,0.0779766666666666,48.734177215189874,0.4836052286284414,-83.27375663110614,0.9999892711639404,1,1.0,0.09833423,-2.8429656,usv,m4fm2
