a,b,stratum,identifiable,w2_before,w2_after,w2_coral,mmd_before,mmd_after,mmd_coral
lab_131204,5970,lab-vs-wild,False,1.588607839744271,1.4429122620084613,1.4054167620566986,0.017517063139510382,0.000798715742617014,0.00015414557560763006
lab_131204,3452,lab-vs-wild,False,1.9540465308967288,1.7731807003176374,1.7228695364832405,0.027928599756170267,0.0011985326105724632,-0.0003513204898700106
lab_131204,9252,lab-vs-wild,False,1.7379866781484101,1.6370641809093862,1.618789459492081,0.01734880098459275,0.0007299072028857564,-5.363379789766753e-05
5970,3452,wild-vs-wild,False,2.2447989008780675,1.817500573664995,1.7286225101119876,0.06377327078715368,0.0020629700482494386,-0.00023736049989948605
5970,9252,wild-vs-wild,False,1.9580523586959828,1.6694560606237556,1.615893522708518,0.042478713697022545,0.0012508192274878352,-5.60480547641499e-06
3452,9252,wild-vs-wild,False,1.623417928667458,1.6598789077818703,1.6374306528360192,0.003105000902110522,-0.0006708850660055443,-0.0017273557478876267
