file,id,label,accepted,score,begin_time_s,end_time_s,call_length_s,principal_freq_hz,low_freq_hz,high_freq_hz,bandwidth_hz,freq_std_dev_hz,slope,sinuosity,mean_power_db,tonality,peak_freq_khz,source_file,wav_stem,det_start_s,det_end_s,det_duration_ms,det_index,det_prob_max,det_prob_mean,det_user_action,det_json_path,match_quality,match_distance_ms,umap_x,umap_y,hdbscan_label,hdbscan_probability
2024-10-04_10-10-27_0000148,1,Cluster_22,1,1,1.0193,1.0547,0.0353999999999998,29.97237569060773,29.14364640883978,34.11602209944751,4.972375690607734,0.6789444949905626,-9.21066164787951,1.3002361491966117,-65.7310141600842,0.3148646637520311,29.97237569060773,classified_Stats.xlsx,2024-10-04_10-10-27_0000148,0.97792,1.10592,128.0,0,0.9999667406082152,0.9120133865264154,,results/batch_3452_sample/detections/2024-10-04_10-10-27_0000148.json,fuzzy,41.38,4.9940877,12.028735,-1,0.0
2024-10-04_10-10-38_0000150,1,Cluster_22,1,1,1.0470666666666666,1.0819733333333332,0.0349066666666666,27.90322580645161,26.935483870967744,27.90322580645161,0.9677419354838684,0.3568542706378433,-3.0995440379390327,1.103434081074509,-68.8654022596108,0.2540526620506534,27.90322580645161,classified_Stats.xlsx,2024-10-04_10-10-38_0000150,1.02912,1.1229866666666666,93.86666666666656,0,0.9997547268867492,0.9364912276682646,,results/batch_3452_sample/detections/2024-10-04_10-10-38_0000150.json,fuzzy,17.947,4.9862013,12.121892,-1,0.0
2024-10-04_10-10-38_0000150,2,Cluster_28,1,1,1.21467,1.2282,0.01353,27.41935483870968,27.41935483870968,101.20967741935485,73.79032258064517,16.312541661208144,1381.5324785764342,2.35703188171106,-76.67057696916935,0.1879657103551518,27.41935483870968,classified_Stats.xlsx,2024-10-04_10-10-38_0000150,1.1912533333333333,1.2509866666666667,59.73333333333342,1,0.9573436379432678,0.8391879598299662,,results/batch_3452_sample/detections/2024-10-04_10-10-38_0000150.json,fuzzy,23.417,6.3417253,12.726296,-1,0.0
2024-10-04_10-10-38_0000150,3,Cluster_28,1,1,1.3426699999999998,1.3562,0.01353,27.41935483870968,27.41935483870968,101.20967741935485,73.79032258064517,16.312541661208144,1381.5324785764342,2.35703188171106,-76.6700376672008,0.1880102765508434,27.41935483870968,classified_Stats.xlsx,2024-10-04_10-10-38_0000150,1.3192533333333334,1.3789866666666666,59.73333333333319,2,0.9571151733398438,0.839155375957489,,results/batch_3452_sample/detections/2024-10-04_10-10-38_0000150.json,fuzzy,23.417,6.3139434,12.756257,-1,0.0
2024-10-04_10-10-38_0000150,4,Cluster_28,1,1,1.47067,1.4842,0.01353,27.41935483870968,27.41935483870968,101.20967741935485,73.79032258064517,16.61101346788693,1383.8037413980996,2.35703188171106,-76.77256839339037,0.1883637212803462,27.41935483870968,classified_Stats.xlsx,2024-10-04_10-10-38_0000150,1.4472533333333333,1.5069866666666667,59.73333333333342,3,0.9571897387504578,0.8394037405649821,,results/batch_3452_sample/detections/2024-10-04_10-10-38_0000150.json,fuzzy,23.417,6.325088,12.743038,-1,0.0
2024-10-04_10-10-38_0000150,5,Cluster_28,1,1,1.5986699999999998,1.6122,0.01353,27.41935483870968,27.41935483870968,101.20967741935485,73.79032258064517,16.312541661208144,1381.5324785764342,2.35703188171106,-76.67020557130533,0.1879993077194297,27.41935483870968,classified_Stats.xlsx,2024-10-04_10-10-38_0000150,1.5752533333333334,1.6349866666666666,59.73333333333319,4,0.9572550654411316,0.8390686472256979,,results/batch_3452_sample/detections/2024-10-04_10-10-38_0000150.json,fuzzy,23.417,6.357427,12.706233,-1,0.0
2024-10-04_10-10-38_0000150,6,Cluster_28,1,1,1.72667,1.7402,0.01353,27.41935483870968,27.41935483870968,101.20967741935485,73.79032258064517,16.312541661208144,1381.5324785764342,2.35703188171106,-76.67020557130533,0.1879976463117088,27.41935483870968,classified_Stats.xlsx,2024-10-04_10-10-38_0000150,1.7032533333333333,1.7629866666666667,59.73333333333342,5,0.9572550654411316,0.839024023214976,,results/batch_3452_sample/detections/2024-10-04_10-10-38_0000150.json,fuzzy,23.417,6.3473115,12.718655,-1,0.0
2024-10-04_10-30-53_0000317,1,Cluster_1,1,1,1.01652,1.02861,0.0120899999999999,84.04255319148936,82.4468085106383,104.7872340425532,22.34042553191489,4.504279446455954,-177.81459621471734,1.2642252173616235,-68.87205656821567,0.2812444639136207,84.04255319148936,classified_Stats.xlsx,2024-10-04_10-30-53_0000317,1.00352,1.037653333333333,34.13333333333335,0,0.9160361289978028,0.8674454821480645,,results/batch_3452_sample/detections/2024-10-04_10-30-53_0000317.json,fuzzy,13.0,-1.95423,13.667737,0,1.0
2024-10-04_10-32-09_0000322,1,Cluster_10,1,1,1.0385799999999998,1.06214,0.02356,66.73913043478261,61.52173913043478,69.34782608695653,7.826086956521749,1.9715467516315617,269.5641628615717,1.0433786653433588,-64.13715887504829,0.3688290324824688,66.73913043478261,classified_Stats.xlsx,2024-10-04_10-32-09_0000322,1.0248533333333334,1.0760533333333333,51.19999999999991,0,0.9986610412597656,0.9718513488769532,,results/batch_3452_sample/detections/2024-10-04_10-32-09_0000322.json,fuzzy,13.727,0.17903085,15.944253,1,0.9515418197590076
2024-10-04_10-32-09_0000322,2,Cluster_10,1,1,1.306706666666667,1.3145733333333334,0.0078666666666666,66.59663865546219,64.07563025210084,67.85714285714286,3.7815126050420247,0.940865580620394,345.4386377046981,1.091344065288756,-70.87424408435666,0.2444120552895744,66.59663865546219,classified_Stats.xlsx,2024-10-04_10-32-09_0000322,1.289386666666667,1.3448533333333332,55.46666666666656,1,0.992195725440979,0.8914955811841148,,results/batch_3452_sample/detections/2024-10-04_10-32-09_0000322.json,fuzzy,17.32,4.6266437,11.02889,2,0.9910124880099778
