ngram,ngram_codes,n,observed,expected,z_score,p_value
Short → Complex → Complex → Chevron → Short,"(3, 4, 4, 2, 3)",5,1,0.1,3.18,0.000736890421937586
Up → Down → Up → Flat → Flat,"(6, 1, 6, 0, 0)",5,1,0.1,3.18,0.000736890421937586
Down → Chevron → Down → Complex → Frequency_Jump,"(1, 2, 1, 4, 5)",5,1,0.1,3.18,0.000736890421937586
Chevron → Frequency_Jump → Down → Up,"(2, 5, 1, 6)",4,2,0.3,3.17,0.0007575205384140471
Flat → Flat → Chevron,"(0, 0, 2)",3,115,90.3,3.12,0.0008940740566708572
Short → Down → Flat → Chevron → Short,"(3, 1, 0, 2, 3)",5,3,0.6,3.12,0.00091329952671515
Up → Up → Flat → Chevron → Flat,"(6, 6, 0, 2, 0)",5,1,0.1,3.1,0.0009567686153637567
Flat → Frequency_Jump → Frequency_Jump → Chevron → Frequency_Jump,"(0, 5, 5, 2, 5)",5,1,0.1,3.1,0.0009567686153637567
Down → Down → Down → Up → Short,"(1, 1, 1, 6, 3)",5,1,0.1,3.09,0.0010061357169260932
Frequency_Jump → Chevron → Flat → Chevron → Up,"(5, 2, 0, 2, 6)",5,1,0.1,3.09,0.0010061357169260932
Flat → Short → Down → Up → Complex,"(0, 3, 1, 6, 4)",5,1,0.1,3.09,0.0010061357169260932
Chevron → Down → Complex → Up → Flat,"(2, 1, 4, 6, 0)",5,1,0.1,3.09,0.0010061357169260932
Short → Complex → Short → Chevron → Complex,"(3, 4, 3, 2, 4)",5,1,0.1,3.09,0.0010061357169260932
Complex → Chevron → Down → Down → Complex,"(4, 2, 1, 1, 4)",5,1,0.1,3.09,0.0010061357169260932
Frequency_Jump → Complex → Down → Flat → Complex,"(5, 4, 1, 0, 4)",5,1,0.1,3.09,0.0010061357169260932
Complex → Chevron → Short → Complex → Short,"(4, 2, 3, 4, 3)",5,1,0.1,3.09,0.0010061357169260932
Down → Up → Flat → Chevron → Short,"(1, 6, 0, 2, 3)",5,1,0.1,3.09,0.0010127315865802178
Down → Short → Down → Down → Up,"(1, 3, 1, 1, 6)",5,1,0.1,3.09,0.0010127315865802178
Complex → Chevron → Chevron → Flat → Up,"(4, 2, 2, 0, 6)",5,1,0.1,3.09,0.0010127315865802178
Chevron → Up → Complex → Down → Flat,"(2, 6, 4, 1, 0)",5,1,0.1,3.09,0.0010127315865802178
Short → Short → Short → Flat → Short,"(3, 3, 3, 0, 3)",5,2,0.3,3.08,0.0010364306904042664
Short → Up → Flat → Flat → Flat,"(3, 6, 0, 0, 0)",5,3,0.6,3.08,0.0010460764036178682
Flat → Frequency_Jump → Chevron → Short → Down,"(0, 5, 2, 3, 1)",5,2,0.3,3.04,0.001169549826586791
Short → Short → Short → Down → Flat,"(3, 3, 3, 1, 0)",5,3,0.5,3.04,0.0011733627719406892
Frequency_Jump → Flat → Short → Chevron → Chevron,"(5, 0, 3, 2, 2)",5,2,0.3,3.04,0.001174751239632732
Frequency_Jump → Down → Down → Up → Down,"(5, 1, 1, 6, 1)",5,1,0.1,3.02,0.0012818002752691404
Down → Complex → Up → Flat → Short,"(1, 4, 6, 0, 3)",5,1,0.1,3.01,0.0013187038672771711
Chevron → Complex → Complex → Chevron → Short,"(2, 4, 4, 2, 3)",5,1,0.1,3.0,0.0013418848285899898
Flat → Complex → Down → Up → Down,"(0, 4, 1, 6, 1)",5,1,0.1,3.0,0.0013418848285899898
Chevron → Chevron → Flat → Complex → Up,"(2, 2, 0, 4, 6)",5,1,0.1,3.0,0.0013418848285899898
Flat → Frequency_Jump → Frequency_Jump → Down → Frequency_Jump,"(0, 5, 5, 1, 5)",5,1,0.1,3.0,0.0013418848285899898
Up → Short → Short → Chevron → Flat,"(6, 3, 3, 2, 0)",5,1,0.1,3.0,0.0013418848285899898
Short → Chevron → Frequency_Jump → Chevron → Complex,"(3, 2, 5, 2, 4)",5,1,0.1,3.0,0.0013418848285899898
Up → Short → Short → Short → Chevron,"(6, 3, 3, 3, 2)",5,1,0.1,3.0,0.0013418848285899898
Short → Chevron → Complex → Complex → Down,"(3, 2, 4, 4, 1)",5,1,0.1,3.0,0.0013498980316301035
Complex → Short → Chevron → Chevron → Complex,"(4, 3, 2, 2, 4)",5,1,0.1,3.0,0.0013498980316301035
Short → Short → Short → Complex → Chevron,"(3, 3, 3, 4, 2)",5,1,0.1,3.0,0.0013498980316301035
Chevron → Chevron → Chevron → Frequency_Jump → Complex,"(2, 2, 2, 5, 4)",5,1,0.1,3.0,0.0013498980316301035
Chevron → Chevron → Chevron → Short → Up,"(2, 2, 2, 3, 6)",5,1,0.1,3.0,0.0013498980316301035
Complex → Chevron → Short → Complex → Down,"(4, 2, 3, 4, 1)",5,1,0.1,3.0,0.0013498980316301035
Complex → Flat → Frequency_Jump → Complex → Down,"(4, 0, 5, 4, 1)",5,1,0.1,3.0,0.0013498980316301035
Short → Short → Chevron → Down → Complex,"(3, 3, 2, 1, 4)",5,1,0.1,3.0,0.0013498980316301035
Frequency_Jump → Flat → Flat → Frequency_Jump → Flat,"(5, 0, 0, 5, 0)",5,3,0.7,2.99,0.0014164292912010046
Frequency_Jump → Flat → Flat → Flat → Frequency_Jump,"(5, 0, 0, 0, 5)",5,3,0.6,2.97,0.0014917264579328293
Flat → Down → Complex → Chevron → Short,"(0, 1, 4, 2, 3)",5,2,0.3,2.96,0.0015188077719821003
Chevron → Down → Short → Short → Down,"(2, 1, 3, 3, 1)",5,2,0.3,2.96,0.0015356410015604505
Chevron → Flat → Short → Down → Frequency_Jump,"(2, 0, 3, 1, 5)",5,2,0.3,2.94,0.0016187999282282206
Down → Flat → Complex → Down → Up,"(1, 0, 4, 1, 6)",5,1,0.1,2.93,0.0017155333310610033
Chevron → Up → Frequency_Jump → Flat → Flat,"(2, 6, 5, 0, 0)",5,1,0.1,2.92,0.0017431198848504303
Frequency_Jump → Complex → Down → Chevron → Chevron,"(5, 4, 1, 2, 2)",5,1,0.1,2.92,0.0017431198848504303
Short → Chevron → Chevron → Complex → Complex,"(3, 2, 2, 4, 4)",5,1,0.1,2.92,0.0017431198848504303
Chevron → Chevron → Complex → Down → Complex,"(2, 2, 4, 1, 4)",5,1,0.1,2.92,0.001752649840248699
Chevron → Chevron → Chevron → Up → Down,"(2, 2, 2, 6, 1)",5,1,0.1,2.92,0.001752649840248699
Down → Frequency_Jump → Chevron → Chevron → Frequency_Jump,"(1, 5, 2, 2, 5)",5,1,0.1,2.92,0.001752649840248699
Down → Complex → Frequency_Jump → Flat → Short,"(1, 4, 5, 0, 3)",5,1,0.1,2.92,0.001752649840248699
Flat → Frequency_Jump → Frequency_Jump → Flat → Down,"(0, 5, 5, 0, 1)",5,2,0.3,2.91,0.0017811559610784178
Down → Flat → Chevron → Short → Chevron,"(1, 0, 2, 3, 2)",5,3,0.7,2.91,0.0018206612091447028
Short → Down → Frequency_Jump → Flat → Chevron,"(3, 1, 5, 0, 2)",5,2,0.3,2.89,0.0019240686579895527
Down → Down → Down → Complex → Down,"(1, 1, 1, 4, 1)",5,2,0.3,2.87,0.0020483705877049063
Short → Short → Flat → Short → Short,"(3, 3, 0, 3, 3)",5,2,0.4,2.87,0.002065148871660427
Down → Complex → Up → Flat → Chevron,"(1, 4, 6, 0, 2)",5,1,0.1,2.86,0.002129581334593844
