ngram,ngram_codes,n,observed,expected,z_score,p_value
Short → Up → Flat → Frequency_Jump → Flat,"(3, 6, 0, 5, 0)",5,1,0.1,3.96,3.77719466341242e-05
Up → Chevron → Short → Short → Short,"(6, 2, 3, 3, 3)",5,1,0.1,3.96,3.77719466341242e-05
Frequency_Jump → Chevron → Complex → Chevron → Chevron,"(5, 2, 4, 2, 2)",5,1,0.1,3.96,3.77719466341242e-05
Short → Up → Short → Flat → Complex,"(3, 6, 3, 0, 4)",5,1,0.1,3.96,3.77719466341242e-05
Short → Short → Short → Complex → Frequency_Jump,"(3, 3, 3, 4, 5)",5,1,0.1,3.96,3.77719466341242e-05
Complex → Complex → Short → Chevron → Short,"(4, 4, 3, 2, 3)",5,1,0.1,3.96,3.77719466341242e-05
Complex → Short → Chevron → Complex → Chevron,"(4, 3, 2, 4, 2)",5,1,0.1,3.96,3.77719466341242e-05
Short → Complex → Complex → Short → Short,"(3, 4, 4, 3, 3)",5,1,0.1,3.96,3.77719466341242e-05
Complex → Chevron → Up → Chevron → Chevron,"(4, 2, 6, 2, 2)",5,1,0.1,3.96,3.77719466341242e-05
Frequency_Jump → Chevron → Complex → Frequency_Jump → Down,"(5, 2, 4, 5, 1)",5,1,0.1,3.96,3.77719466341242e-05
Up → Short → Chevron → Short → Chevron,"(6, 3, 2, 3, 2)",5,1,0.1,3.96,3.77719466341242e-05
Down → Down → Down → Flat → Chevron,"(1, 1, 1, 0, 2)",5,5,1.0,3.95,3.961223410420267e-05
Complex → Complex → Complex → Flat → Flat,"(4, 4, 4, 0, 0)",5,2,0.2,3.94,3.993350416264807e-05
Down → Chevron → Complex → Flat → Complex,"(1, 2, 4, 0, 4)",5,2,0.2,3.94,3.993350416264807e-05
Down → Complex → Complex → Short,"(1, 4, 4, 3)",4,4,0.7,3.94,4.00833117417676e-05
Flat → Frequency_Jump → Flat → Flat → Flat,"(0, 5, 0, 0, 0)",5,9,2.6,3.93,4.171311539657996e-05
Short → Short → Complex → Flat → Short,"(3, 3, 4, 0, 3)",5,2,0.2,3.93,4.312966966790732e-05
Flat → Flat → Flat → Chevron → Chevron,"(0, 0, 0, 2, 2)",5,10,3.3,3.91,4.7067786450361027e-05
Flat → Frequency_Jump → Chevron → Flat → Frequency_Jump,"(0, 5, 2, 0, 5)",5,2,0.3,3.87,5.495097988272857e-05
Flat → Chevron → Frequency_Jump → Flat → Chevron,"(0, 2, 5, 0, 2)",5,4,0.7,3.86,5.639247536026737e-05
Flat → Flat → Flat → Frequency_Jump → Flat,"(0, 0, 0, 5, 0)",5,9,2.6,3.84,6.153865774849443e-05
Down → Complex → Complex → Up,"(1, 4, 4, 6)",4,2,0.2,3.84,6.21180617156325e-05
Frequency_Jump → Down → Down → Down → Down,"(5, 1, 1, 1, 1)",5,2,0.2,3.84,6.21180617156325e-05
Frequency_Jump → Down → Chevron → Flat → Flat,"(5, 1, 2, 0, 0)",5,4,0.8,3.83,6.279609326231839e-05
Flat → Complex → Flat → Flat → Up,"(0, 4, 0, 0, 6)",5,2,0.2,3.83,6.313053191442375e-05
Down → Frequency_Jump → Flat → Chevron → Frequency_Jump,"(1, 5, 0, 2, 5)",5,2,0.2,3.83,6.533910034545176e-05
Complex → Complex → Up → Short,"(4, 4, 6, 3)",4,2,0.2,3.8,7.195871667720066e-05
Short → Up → Complex → Flat → Chevron,"(3, 6, 4, 0, 2)",5,1,0.1,3.8,7.353164845402826e-05
Chevron → Flat → Complex → Chevron → Up,"(2, 0, 4, 2, 6)",5,1,0.1,3.8,7.353164845402826e-05
Short → Short → Up → Up,"(3, 3, 6, 6)",4,1,0.1,3.79,7.450740666514744e-05
Short → Up → Up → Chevron,"(3, 6, 6, 2)",4,1,0.1,3.79,7.450740666514744e-05
Chevron → Short → Short → Complex → Complex,"(2, 3, 3, 4, 4)",5,1,0.1,3.79,7.450740666514744e-05
Complex → Chevron → Complex → Chevron → Short,"(4, 2, 4, 2, 3)",5,1,0.1,3.79,7.450740666514744e-05
Complex → Complex → Short → Complex → Down,"(4, 4, 3, 4, 1)",5,1,0.1,3.79,7.450740666514744e-05
Chevron → Up → Up → Flat → Flat,"(2, 6, 6, 0, 0)",5,1,0.1,3.79,7.450740666514744e-05
Frequency_Jump → Frequency_Jump → Down → Down → Down,"(5, 5, 1, 1, 1)",5,1,0.1,3.79,7.450740666514744e-05
Complex → Chevron → Short → Short → Complex,"(4, 2, 3, 3, 4)",5,1,0.1,3.79,7.450740666514744e-05
Up → Up → Chevron → Flat → Flat,"(6, 6, 2, 0, 0)",5,1,0.1,3.79,7.450740666514744e-05
Chevron → Frequency_Jump → Flat → Down → Up,"(2, 5, 0, 1, 6)",5,1,0.1,3.79,7.450740666514744e-05
Frequency_Jump → Flat → Down → Down → Up,"(5, 0, 1, 1, 6)",5,1,0.1,3.79,7.450740666514744e-05
Frequency_Jump → Chevron → Down → Chevron → Up,"(5, 2, 1, 2, 6)",5,1,0.1,3.79,7.450740666514744e-05
Complex → Complex → Down → Short → Short,"(4, 4, 1, 3, 3)",5,1,0.1,3.79,7.450740666514744e-05
Chevron → Down → Frequency_Jump → Flat → Up,"(2, 1, 5, 0, 6)",5,1,0.1,3.79,7.450740666514744e-05
Chevron → Up → Down → Flat → Frequency_Jump,"(2, 6, 1, 0, 5)",5,1,0.1,3.79,7.450740666514744e-05
Frequency_Jump → Chevron → Complex → Chevron,"(5, 2, 4, 2)",4,4,0.7,3.78,7.718731699779546e-05
Flat → Frequency_Jump → Chevron → Short → Short,"(0, 5, 2, 3, 3)",5,2,0.2,3.78,7.802216768515446e-05
Chevron → Flat → Down → Frequency_Jump → Flat,"(2, 0, 1, 5, 0)",5,4,0.8,3.78,7.830074613868199e-05
Down → Down → Flat → Chevron → Frequency_Jump,"(1, 1, 0, 2, 5)",5,3,0.4,3.78,7.854342432089823e-05
Frequency_Jump → Flat → Chevron → Flat → Flat,"(5, 0, 2, 0, 0)",5,6,1.4,3.76,8.402728473755339e-05
Complex → Short → Complex → Short,"(4, 3, 4, 3)",4,3,0.4,3.74,9.241285526917498e-05
Flat → Short → Up → Up,"(0, 3, 6, 6)",4,2,0.2,3.73,9.497095005106537e-05
Down → Down → Down → Down → Complex,"(1, 1, 1, 1, 4)",5,2,0.2,3.73,9.497095005106537e-05
Chevron → Frequency_Jump → Down → Flat → Complex,"(2, 5, 1, 0, 4)",5,2,0.2,3.69,0.0001141550154265536
Down → Frequency_Jump → Flat,"(1, 5, 0)",3,39,22.3,3.67,0.00012328353680068904
Down → Complex → Complex → Complex,"(1, 4, 4, 4)",4,3,0.5,3.66,0.00012433040042869603
Chevron → Complex → Chevron → Complex,"(2, 4, 2, 4)",4,4,0.8,3.65,0.00013031380519423763
Complex → Complex → Complex → Flat,"(4, 4, 4, 0)",4,4,0.8,3.65,0.00013120785553055736
Down → Flat → Up → Flat → Up,"(1, 0, 6, 0, 6)",5,1,0.1,3.65,0.00013219240606643368
Complex → Complex → Up → Flat → Short,"(4, 4, 6, 0, 3)",5,1,0.1,3.65,0.00013219240606643368
Short → Complex → Short → Complex → Short,"(3, 4, 3, 4, 3)",5,1,0.1,3.65,0.00013219240606643368
Up → Flat → Up → Up,"(6, 0, 6, 6)",4,1,0.1,3.64,0.00013371806012130172
Flat → Chevron → Complex → Frequency_Jump → Complex,"(0, 2, 4, 5, 4)",5,1,0.1,3.64,0.00013371806012130172
Frequency_Jump → Chevron → Frequency_Jump → Flat → Frequency_Jump,"(5, 2, 5, 0, 5)",5,1,0.1,3.64,0.00013371806012130172
Up → Chevron → Short → Chevron → Down,"(6, 2, 3, 2, 1)",5,1,0.1,3.64,0.00013371806012130172
Short → Short → Frequency_Jump → Complex → Chevron,"(3, 3, 5, 4, 2)",5,1,0.1,3.64,0.00013371806012130172
Chevron → Short → Frequency_Jump → Up → Flat,"(2, 3, 5, 6, 0)",5,1,0.1,3.64,0.00013371806012130172
Complex → Down → Up → Chevron → Down,"(4, 1, 6, 2, 1)",5,1,0.1,3.64,0.00013371806012130172
Complex → Up → Flat → Chevron → Short,"(4, 6, 0, 2, 3)",5,1,0.1,3.64,0.00013371806012130172
Frequency_Jump → Flat → Frequency_Jump → Chevron → Complex,"(5, 0, 5, 2, 4)",5,1,0.1,3.64,0.00013371806012130172
Frequency_Jump → Short → Chevron → Chevron → Frequency_Jump,"(5, 3, 2, 2, 5)",5,1,0.1,3.64,0.00013371806012130172
Complex → Short → Complex → Short → Chevron,"(4, 3, 4, 3, 2)",5,1,0.1,3.64,0.00013371806012130172
Flat → Complex → Complex → Up → Flat,"(0, 4, 4, 6, 0)",5,1,0.1,3.64,0.00013371806012130172
Down → Complex → Up → Flat → Complex,"(1, 4, 6, 0, 4)",5,1,0.1,3.64,0.00013371806012130172
Down → Up → Complex → Down → Short,"(1, 6, 4, 1, 3)",5,1,0.1,3.64,0.00013371806012130172
Complex → Short → Chevron → Complex → Complex,"(4, 3, 2, 4, 4)",5,1,0.1,3.64,0.00013371806012130172
Chevron → Short → Complex → Complex → Short,"(2, 3, 4, 4, 3)",5,1,0.1,3.64,0.00013371806012130172
Up → Flat → Frequency_Jump → Flat → Frequency_Jump,"(6, 0, 5, 0, 5)",5,1,0.1,3.64,0.00013371806012130172
Short → Complex → Short,"(3, 4, 3)",3,17,7.7,3.63,0.00014104238697620897
Chevron → Down → Down → Down,"(2, 1, 1, 1)",4,11,4.0,3.61,0.0001532114213361746
Flat → Frequency_Jump → Flat → Flat → Complex,"(0, 5, 0, 0, 4)",5,4,0.8,3.6,0.00016026216876940946
Up → Up → Flat → Chevron,"(6, 6, 0, 2)",4,2,0.3,3.58,0.00017130708761892155
Chevron → Chevron → Chevron → Down → Chevron,"(2, 2, 2, 1, 2)",5,3,0.5,3.57,0.00017637438415940565
Frequency_Jump → Frequency_Jump → Chevron → Frequency_Jump,"(5, 5, 2, 5)",4,2,0.2,3.56,0.0001849250201767516
Complex → Complex → Down → Short,"(4, 4, 1, 3)",4,4,0.8,3.56,0.00018598269780922827
Short → Chevron → Up → Complex,"(3, 2, 6, 4)",4,2,0.2,3.55,0.00019569944243802428
Frequency_Jump → Frequency_Jump → Flat → Chevron,"(5, 5, 0, 2)",4,5,1.2,3.54,0.00019649651320741146
Chevron → Chevron → Chevron → Chevron → Down,"(2, 2, 2, 2, 1)",5,3,0.5,3.54,0.00020298510274574522
Flat → Up → Short → Down → Flat,"(0, 6, 3, 1, 0)",5,2,0.3,3.53,0.0002045572551940822
Flat → Flat → Flat → Frequency_Jump,"(0, 0, 0, 5)",4,22,10.5,3.52,0.00021850767334175014
Down → Complex → Chevron → Complex → Complex,"(1, 4, 2, 4, 4)",5,1,0.1,3.51,0.00022023681236926773
Flat → Complex → Up → Complex → Down,"(0, 4, 6, 4, 1)",5,1,0.1,3.51,0.00022247059073943198
Down → Complex → Complex → Short → Chevron,"(1, 4, 4, 3, 2)",5,1,0.1,3.51,0.00022247059073943198
Frequency_Jump → Flat → Chevron,"(5, 0, 2)",3,35,20.4,3.47,0.00025776152369494376
Flat → Chevron → Down → Flat → Up,"(0, 2, 1, 0, 6)",5,2,0.3,3.45,0.0002758405583612733
Frequency_Jump → Complex → Complex → Short,"(5, 4, 4, 3)",4,2,0.3,3.43,0.0003028550384175377
Down → Down → Flat,"(1, 1, 0)",3,76,53.9,3.42,0.0003085519486810684
Frequency_Jump → Chevron → Flat → Chevron → Short,"(5, 2, 0, 2, 3)",5,2,0.3,3.42,0.000310364786693329
Down → Short → Short → Short → Up,"(1, 3, 3, 3, 6)",5,1,0.1,3.41,0.0003218487627348887
Short → Down → Up → Flat → Flat,"(3, 1, 6, 0, 0)",5,2,0.3,3.41,0.00032257029904381174
Chevron → Chevron → Frequency_Jump → Up,"(2, 2, 5, 6)",4,2,0.3,3.4,0.0003409196491928057
Short → Down → Down → Chevron → Short,"(3, 1, 1, 2, 3)",5,2,0.3,3.4,0.0003409196491928057
Frequency_Jump → Frequency_Jump → Flat → Flat → Up,"(5, 5, 0, 0, 6)",5,1,0.1,3.39,0.0003448789251840889
Complex → Flat → Frequency_Jump → Up → Flat,"(4, 0, 5, 6, 0)",5,1,0.1,3.39,0.0003448789251840889
Chevron → Frequency_Jump → Chevron → Chevron → Complex,"(2, 5, 2, 2, 4)",5,1,0.1,3.39,0.0003448789251840889
Frequency_Jump → Chevron → Flat → Up → Down,"(5, 2, 0, 6, 1)",5,1,0.1,3.39,0.0003448789251840889
Frequency_Jump → Up → Chevron → Chevron → Flat,"(5, 6, 2, 2, 0)",5,1,0.1,3.39,0.0003448789251840889
Frequency_Jump → Frequency_Jump → Down → Down → Complex,"(5, 5, 1, 1, 4)",5,1,0.1,3.39,0.0003448789251840889
Down → Short → Short → Chevron → Up,"(1, 3, 3, 2, 6)",5,1,0.1,3.39,0.0003448789251840889
Frequency_Jump → Chevron → Chevron → Up → Down,"(5, 2, 2, 6, 1)",5,1,0.1,3.39,0.0003448789251840889
Complex → Complex → Chevron → Short → Short,"(4, 4, 2, 3, 3)",5,1,0.1,3.39,0.0003448789251840889
Complex → Complex → Flat → Frequency_Jump → Chevron,"(4, 4, 0, 5, 2)",5,1,0.1,3.39,0.0003479809496371722
Short → Down → Complex → Chevron → Complex,"(3, 1, 4, 2, 4)",5,1,0.1,3.39,0.0003479809496371722
Flat → Flat → Up → Down → Up,"(0, 0, 6, 1, 6)",5,1,0.1,3.39,0.0003479809496371722
Flat → Complex → Chevron → Up → Chevron,"(0, 4, 2, 6, 2)",5,1,0.1,3.39,0.0003479809496371722
Chevron → Down → Up → Short → Short,"(2, 1, 6, 3, 3)",5,1,0.1,3.39,0.0003479809496371722
Short → Down → Frequency_Jump → Complex → Complex,"(3, 1, 5, 4, 4)",5,1,0.1,3.39,0.0003479809496371722
Down → Chevron → Chevron → Frequency_Jump → Frequency_Jump,"(1, 2, 2, 5, 5)",5,1,0.1,3.39,0.0003479809496371722
Frequency_Jump → Frequency_Jump → Chevron → Flat,"(5, 5, 2, 0)",4,5,1.3,3.39,0.0003487010313122374
Frequency_Jump → Complex → Down → Flat,"(5, 4, 1, 0)",4,5,1.3,3.36,0.00038336454876142234
Frequency_Jump → Complex → Chevron → Flat → Flat,"(5, 4, 2, 0, 0)",5,2,0.3,3.35,0.00040784951389472024
