"time_of_day","avg_size","num_recordings","line_thickness"
0.00555555555555556,1289122,1,1
0.0075,1289122,1,1
0.00777777777777778,1289122,1,1
0.00888888888888889,1289122,1,1
0.0294444444444444,1289122,1,1
0.0311111111111111,1289122,1,1
0.0316666666666667,1289122,1,1
0.0347222222222222,1289122,1,1
0.0366666666666667,1289122,1,1
0.0397222222222222,1289122,1,1
0.0408333333333333,2894754,1,1
0.0419444444444444,1289122,1,1
0.0441666666666667,1289122,1,1
0.0463888888888889,1551266,1,1
0.0469444444444444,1289122,1,1
0.0486111111111111,1289122,1,1
0.110833333333333,1289122,1,1
0.126944444444444,1289122,1,1
0.148611111111111,1289122,1,1
0.190833333333333,1289122,1,1
0.243055555555556,1289122,1,1
0.253611111111111,1289122,1,1
0.258888888888889,1289122,1,1
0.261111111111111,1289122,1,1
0.266111111111111,1780642,1,1
0.267222222222222,1289122,1,1
0.267777777777778,1289122,1,1
0.274444444444444,1780642,1,1
0.285,1289122,1,1
0.287222222222222,1289122,1,1
0.294444444444444,1289122,1,1
0.296388888888889,1289122,1,1
0.300555555555556,1289122,1,1
0.302777777777778,1289122,2,10
0.315555555555556,1289122,1,1
0.317777777777778,1289122,1,1
0.3275,1289122,1,1
0.33,1289122,1,1
0.331111111111111,1289122,1,1
0.339722222222222,1289122,1,1
0.341666666666667,1289122,1,1
0.342222222222222,1289122,1,1
0.343055555555556,1289122,1,1
0.345555555555556,1682338,1,1
0.346944444444444,1289122,1,1
0.348888888888889,1289122,1,1
0.352222222222222,1289122,2,10
0.352777777777778,1289122,1,1
0.361388888888889,1289122,1,1
0.361666666666667,1289122,1,1
0.361944444444444,1289122,1,1
0.364166666666667,1289122,1,1
0.364444444444444,1616802,1,1
0.366944444444444,1289122,1,1
0.371944444444444,1289122,1,1
0.373611111111111,1289122,1,1
0.375,1289122,1,1
0.375277777777778,1289122,1,1
0.379444444444444,1289122,1,1
0.38,1289122,1,1
0.380833333333333,1289122,1,1
0.381388888888889,1289122,1,1
0.388333333333333,1289122,1,1
0.389722222222222,1289122,1,1
0.391666666666667,1289122,1,1
0.392777777777778,1289122,1,1
0.393888888888889,1289122,1,1
0.404722222222222,1289122,1,1
0.411388888888889,1289122,1,1
0.414444444444444,1289122,1,1
0.435,1289122,1,1
0.437222222222222,1289122,1,1
0.443611111111111,1289122,2,10
0.445277777777778,1289122,1,1
0.446111111111111,1289122,1,1
0.449166666666667,1289122,1,1
0.45,1289122,1,1
0.452222222222222,1289122,1,1
0.461388888888889,1289122,1,1
0.467777777777778,1649570,1,1
0.468611111111111,1289122,1,1
0.471944444444444,2108322,1,1
0.472777777777778,1289122,1,1
0.473333333333333,1289122,1,1
0.475833333333333,1289122,1,1
0.477777777777778,1289122,1,1
0.480277777777778,1289122,1,1
0.482222222222222,1289122,1,1
0.488888888888889,1289122,1,1
0.49,1289122,1,1
0.493888888888889,1289122,1,1
0.508888888888889,1289122,1,1
0.510555555555556,1813410,1,1
0.515555555555556,1289122,1,1
0.52,1289122,1,1
0.529166666666667,1289122,1,1
0.555833333333333,1289122,1,1
0.556111111111111,1289122,1,1
0.556666666666667,1289122,1,1
0.558055555555556,1289122,1,1
0.558888888888889,1846178,1,1
0.560277777777778,1289122,1,1
0.563055555555556,1289122,1,1
0.575555555555555,1289122,1,1
0.577777777777778,1289122,1,1
0.582222222222222,1452962,1,1
0.584722222222222,1977250,1,1
0.585833333333333,2468770,1,1
0.59,1289122,1,1
0.590555555555556,1289122,1,1
0.591111111111111,1747874,1,1
0.591666666666667,1616802,1,1
0.592777777777778,1289122,1,1
0.593611111111111,1321890,1,1
0.594722222222222,1289122,1,1
0.595277777777778,2206626,1,1
0.596111111111111,1616802,1,1
0.598611111111111,1289122,1,1
0.608333333333333,1354658,1,1
0.610833333333333,1289122,1,1
0.621111111111111,1289122,1,1
0.623333333333333,1289122,1,1
0.624444444444444,1289122,1,1
0.626944444444445,1289122,1,1
0.634166666666667,1289122,1,1
0.634722222222222,1420194,1,1
0.636111111111111,1289122,1,1
0.636666666666667,1715106,1,1
0.639722222222222,1354658,1,1
0.640833333333333,1289122,1,1
0.641944444444444,1289122,1,1
0.6475,1289122,1,1
0.656666666666667,1289122,1,1
0.665555555555556,1289122,1,1
0.669166666666667,1289122,1,1
0.670833333333333,1289122,1,1
0.691666666666667,1289122,1,1
0.6925,1289122,1,1
0.697777777777778,1289122,1,1
0.698888888888889,1354658,1,1
0.7025,1289122,1,1
0.704444444444444,1289122,1,1
0.727222222222222,1289122,1,1
0.733333333333333,1289122,1,1
0.742222222222222,1289122,1,1
0.746388888888889,1584034,1,1
0.748888888888889,1289122,1,1
0.755,1289122,1,1
0.763611111111111,3713954,1,1
0.765277777777778,1977250,1,1
0.765833333333333,1289122,1,1
0.776666666666667,1289122,1,1
0.778611111111111,1321890,1,1
0.783055555555556,1289122,1,1
0.785277777777778,1289122,1,1
0.799166666666667,1289122,1,1
0.806388888888889,1289122,1,1
0.806944444444444,1289122,1,1
0.809722222222222,1289122,1,1
0.810833333333333,1289122,1,1
0.819166666666667,1289122,1,1
0.8225,1289122,1,1
0.825,1289122,1,1
0.8275,1289122,1,1
0.834166666666667,1289122,1,1
0.836388888888889,1289122,1,1
0.846388888888889,1289122,1,1
0.854166666666667,1289122,1,1
0.861666666666667,1289122,1,1
0.865,1289122,1,1
0.866388888888889,1289122,1,1
0.866666666666667,1321890,1,1
0.868888888888889,1289122,1,1
0.869722222222222,1289122,1,1
0.870833333333333,1289122,1,1
0.873055555555556,1289122,1,1
0.874166666666667,1289122,1,1
0.879722222222222,1289122,1,1
0.889722222222222,1289122,1,1
0.890277777777778,1289122,2,10
0.892222222222222,1289122,1,1
0.903888888888889,1289122,1,1
0.904722222222222,1289122,1,1
0.906388888888889,1289122,1,1
0.908611111111111,1518498,1,1
0.915277777777778,1289122,1,1
0.916388888888889,1289122,1,1
0.916666666666667,1289122,1,1
0.923333333333333,1616802,1,1
0.924722222222222,1289122,1,1
0.928055555555556,1584034,1,1
0.930555555555555,1289122,1,1
0.936944444444444,1289122,1,1
0.938888888888889,1289122,1,1
