

D:\NogaKS21\Documents\Avisoft Bioacoustics\usv_lmt_035\
10/04/24	09:49:52	Monitoring_started
10/04/24	09:58:46	2024-10-04_09-58-46_0000083.wav	2.3 s
10/04/24	09:59:05	2024-10-04_09-59-05_0000084.wav	2.1 s
10/04/24	09:59:08	2024-10-04_09-59-08_0000085.wav	2.4 s
10/04/24	09:59:11	2024-10-04_09-59-11_0000086.wav	2.1 s
10/04/24	09:59:15	2024-10-04_09-59-15_0000087.wav	2.1 s
10/04/24	09:59:32	2024-10-04_09-59-32_0000088.wav	2.9 s
10/04/24	09:59:34	2024-10-04_09-59-34_0000089.wav	2.9 s
10/04/24	09:59:43	2024-10-04_09-59-43_0000090.wav	2.6 s
10/04/24	09:59:44	2024-10-04_09-59-44_0000091.wav	3.9 s
10/04/24	09:59:48	2024-10-04_09-59-48_0000092.wav	3.5 s
10/04/24	09:59:52	2024-10-04_09-59-52_0000093.wav	2.1 s
10/04/24	09:59:56	2024-10-04_09-59-56_0000094.wav	2.1 s
10/04/24	10:00:18	2024-10-04_10-00-18_0000095.wav	2.1 s
10/04/24	10:00:21	2024-10-04_10-00-21_0000096.wav	2.1 s
10/04/24	10:00:30	2024-10-04_10-00-30_0000097.wav	2.1 s
10/04/24	10:00:32	2024-10-04_10-00-32_0000098.wav	3.3 s
10/04/24	10:00:34	2024-10-04_10-00-34_0000099.wav	2.5 s
10/04/24	10:00:48	2024-10-04_10-00-48_0000100.wav	2.1 s
10/04/24	10:00:53	2024-10-04_10-00-53_0000101.wav	2.4 s
10/04/24	10:00:55	2024-10-04_10-00-55_0000102.wav	4.3 s
10/04/24	10:01:17	2024-10-04_10-01-17_0000103.wav	3.1 s
10/04/24	10:01:20	2024-10-04_10-01-20_0000104.wav	2.1 s
10/04/24	10:01:24	2024-10-04_10-01-24_0000105.wav	3.6 s
10/04/24	10:01:38	2024-10-04_10-01-38_0000106.wav	2.1 s
10/04/24	10:01:47	2024-10-04_10-01-47_0000107.wav	2.6 s
10/04/24	10:01:51	2024-10-04_10-01-51_0000108.wav	2.2 s
10/04/24	10:01:57	2024-10-04_10-01-57_0000109.wav	2.1 s
10/04/24	10:02:10	2024-10-04_10-02-10_0000110.wav	2.1 s
10/04/24	10:02:38	2024-10-04_10-02-38_0000111.wav	2.1 s
10/04/24	10:02:45	2024-10-04_10-02-45_0000112.wav	2.1 s
10/04/24	10:02:55	2024-10-04_10-02-55_0000113.wav	2.1 s
10/04/24	10:03:16	2024-10-04_10-03-16_0000114.wav	2.1 s
