Date,Session_ID,Phase,d_prime,criterion,hit_rate,fa_rate,median_rt,efficiency,total_trials,total_hits
2025-08-06,1,1,4.518140168180409,0.21087145304330934,0.9797297297297297,0.006756756756756757,0.0,2.4027777777777777,73.0,72.0
2025-08-07,2,1,4.518140168180409,0.21087145304330934,0.9797297297297297,0.006756756756756757,4.210288006639445,9.930555555555555,73.0,72.0
2025-08-14,3,1,4.518140168180409,0.21087145304330934,0.9797297297297297,0.006756756756756757,0.0,5.111111111111111,73.0,72.0
2025-08-17,4,1,4.518140168180409,0.21087145304330934,0.9797297297297297,0.006756756756756757,6.659072422292297,9.958333333333334,73.0,72.0
2025-08-18,5,1,4.507631734025418,0.21125461766640208,0.9794520547945206,0.00684931506849315,3.420154621844944,34.49295774647887,72.0,71.0
2025-08-19,6,1,4.93014096935822,6.661338147750939e-16,0.9931506849315068,0.00684931506849315,4.398046076973799,18.208333333333332,72.0,72.0
2025-08-20,7,1,4.518140168180409,0.21087145304330934,0.9797297297297297,0.006756756756756757,2.2088558946423404,35.458333333333336,73.0,72.0
2025-08-21,8,1,4.93014096935822,6.661338147750939e-16,0.9931506849315068,0.00684931506849315,1.495379678066172,43.52777777777778,72.0,72.0
2025-08-24,1,2,2.150943581964861,1.3895986936966804,0.3767123287671233,0.00684931506849315,1.5009700747152692,48.333333333333336,72.0,27.0
2025-08-25,2,2,2.327286268332187,1.3014273505130174,0.4452054794520548,0.00684931506849315,0.9549353097377775,74.15625,72.0,32.0
2025-08-26,3,2,2.533799302096058,1.198170833631082,0.5273972602739726,0.00684931506849315,0.6093881218120032,64.05263157894737,72.0,38.0
2025-08-27,4,2,2.5207734518703373,1.209554811198345,0.5202702702702703,0.006756756756756757,0.982224848978376,80.55263157894737,73.0,38.0
2025-08-28,5,2,2.486879024463385,1.226502024901821,0.5067567567567568,0.006756756756756757,0.7073074868523008,54.054054054054056,73.0,37.0
2025-08-31,6,2,3.469714088417054,0.7302134404705839,0.8424657534246576,0.00684931506849315,0.1597136237912764,109.21311475409836,72.0,61.0
2025-09-01,7,2,3.1024923335575787,0.9186953703547243,0.7364864864864865,0.006756756756756757,0.09381675725495595,97.96296296296296,73.0,54.0
2025-09-02,8,2,2.533799302096058,1.198170833631082,0.5273972602739726,0.00684931506849315,0.9942462149466564,35.5,72.0,38.0
2025-09-04,1,3,-2.6866658688020104,-1.1879801564984422,0.4382716049382716,0.9943181818181818,0.8307226974029618,61.94285714285714,167.0,35.0
2025-09-04,2,3,0.25507180279056807,0.7369446791814761,0.2711267605633803,0.1936619718309859,0.48813944481912586,28.94736842105263,168.0,38.0
2025-09-07,3,3,-2.494788659740312,-1.3142876050638654,0.5266666666666666,0.9947916666666666,0.7890101109071566,76.51282051282051,169.0,39.0
2025-09-07,4,3,-0.08955797205943894,-0.011201763376838317,0.48660714285714285,0.5223214285714286,0.6223317213536745,35.388888888888886,169.0,54.0
2025-09-08,5,3,0.1269214486578003,0.08452638539693874,0.49159663865546216,0.4411764705882353,0.7558770370459911,28.75862068965517,170.0,58.0
2025-09-15,6,3,-2.5636786612596114,-1.3008300802069785,0.5075757575757576,0.9950980392156863,0.5807802803162758,62.666666666666664,166.0,33.0
2025-09-16,7,3,0.5350564122021944,-0.0,0.60546875,0.39453125,0.759012066681521,26.38961038961039,177.0,77.0
2025-09-17,8,3,0.4961899210113412,0.08086295213482049,0.56640625,0.37109375,0.7072085342300625,25.291666666666668,174.0,72.0
2025-09-18,9,3,0.6164033299042706,0.16744186462865698,0.5559701492537313,0.31716417910447764,0.7423100843281532,24.283783783783782,175.0,74.0
2025-09-21,10,3,-2.155844067886715,-1.4370328438591717,0.6402439024390244,0.9940476190476191,0.9896291740606102,37.71153846153846,164.0,52.0
2025-09-22,11,3,0.23799530420779813,-0.4688958569069199,0.7216981132075472,0.6367924528301887,0.8075957680684951,29.276315789473685,172.0,76.0
2025-09-23,12,3,-1.791130797739076,-1.6397081410897056,0.7716049382716049,0.9943820224719101,0.7737072649150605,37.983870967741936,168.0,62.0
2025-09-24,13,3,0.3573142962777804,-0.042461564858680356,0.5875,0.44583333333333336,0.8562788867768631,28.414285714285715,172.0,70.0
2025-09-25,14,3,0.692960416031325,-0.09518683914239529,0.6706349206349206,0.4007936507936508,0.7957128376140759,22.511904761904763,175.0,84.0
2025-09-28,15,3,0.6689646605389525,0.07920312875632787,0.6007462686567164,0.33955223880597013,0.6125383082659255,22.0875,178.0,80.0
2025-09-29,16,3,0.8582897868582794,0.19594068344903676,0.5921985815602837,0.26595744680851063,0.4527201693306324,18.337349397590362,177.0,83.0
2025-09-30,17,3,0.1534688566065027,-0.09853292213315966,0.5695652173913044,0.508695652173913,0.5313937416729004,27.153846153846153,172.0,65.0
2025-10-08,18,3,-1.5793737591165242,-1.7335529444647977,0.8273809523809523,0.9941860465116279,0.7051954976554953,36.2463768115942,168.0,69.0
2025-10-09,19,3,-2.000727873456868,-1.5823054741083502,0.7196969696969697,0.9950980392156863,0.4729640267232753,51.702127659574465,166.0,47.0
2025-10-15,20,3,-1.9304886605519616,-1.6841123830986964,0.7638888888888888,0.9959677419354839,1.0886395153226829,111.62962962962963,158.0,27.0
2025-10-16,21,3,-1.4528941183246031,-1.8883299964390408,0.8773584905660378,0.9955357142857143,0.7819152804727025,74.73913043478261,163.0,46.0
2025-10-16,22,3,-1.9693675141427889,-1.659173507267476,0.75,0.9959016393442623,1.1036162734749269,146.3548387096774,162.0,31.0
2025-10-19,23,3,-1.6167509325909002,-1.8183656355450322,0.84375,0.9956896551724138,1.0061731454484608,120.025,162.0,40.0
2025-10-20,24,3,-1.19675317986801,-1.9975375994589533,0.9191176470588235,0.9952830188679245,0.7364341410427926,103.14516129032258,172.0,62.0
