Date,Session_ID,Phase,Bin_ID,d_prime,criterion,hit_rate,fa_rate,median_rt,efficiency,total_trials,total_hits
2025-08-06,1,1,0,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,2.9744930255444544,5.5,20.0,20.0
2025-08-06,1,1,1,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,0.0,3.15,20.0,20.0
2025-08-06,1,1,2,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,0.0,0.0,20.0,20.0
2025-08-06,1,1,3,3.044609882582511,0.2804381494479349,0.8928571428571429,0.03571428571428571,0.0,0.0,13.0,12.0
2025-08-07,2,1,0,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,5.61603788325408,14.2,20.0,20.0
2025-08-07,2,1,1,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,4.163692209125202,13.5,20.0,20.0
2025-08-07,2,1,2,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,1.0266423085518,4.45,20.0,20.0
2025-08-07,2,1,3,3.044609882582511,0.2804381494479349,0.8928571428571429,0.03571428571428571,4.1222229841843046,6.0,13.0,12.0
2025-08-14,3,1,0,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,2.04665692453554,15.7,20.0,20.0
2025-08-14,3,1,1,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,2.788495321770256,2.1,20.0,20.0
2025-08-14,3,1,2,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,0.0,0.6,20.0,20.0
2025-08-14,3,1,3,3.044609882582511,0.2804381494479349,0.8928571428571429,0.03571428571428571,0.0,0.0,13.0,12.0
2025-08-17,4,1,0,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,5.45933616388082,16.75,20.0,20.0
2025-08-17,4,1,1,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,5.750128177735036,9.4,20.0,20.0
2025-08-17,4,1,2,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,10.4250295228087,7.95,20.0,20.0
2025-08-17,4,1,3,3.044609882582511,0.2804381494479349,0.8928571428571429,0.03571428571428571,0.20764806187651175,2.9166666666666665,13.0,12.0
2025-08-18,5,1,0,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,2.544337085099471,70.1,20.0,20.0
2025-08-18,5,1,1,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,6.729657211331244,32.5,20.0,20.0
2025-08-18,5,1,2,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,1.6157163078825079,13.4,20.0,20.0
2025-08-18,5,1,3,2.9672047408256312,0.2852226681058909,0.8846153846153846,0.038461538461538464,4.056680617980646,11.727272727272727,12.0,11.0
2025-08-19,6,1,0,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,5.573254041381517,34.55,20.0,20.0
2025-08-19,6,1,1,3.9615047932945577,-0.0,0.9761904761904762,0.023809523809523808,1.8522842569384466,14.65,20.0,20.0
