K,varexpl,r2,stability
3,0.39975348033914343,0.39993502381976,0.9722595931650098
4,0.5423513835336681,0.5390852091729266,0.9543884532944839
5,0.6325942260550238,0.6292970967284499,0.7895503589184518
6,0.7126544072290324,0.7093921976711367,0.8919218461470126
8,0.7906420678966131,0.7872677249873797,0.7776530907687633
10,0.8335690231248122,0.830299527324386,0.7514824640802754
12,0.86444138429309,0.8614851666351551,0.7161210953520551
