threshold,precision,recall,f1,accuracy,tp,fp,fn,tn
0.05,0.8970588233974914,0.9384615383171598,0.917293227947312,0.9320987654320988,61,7,4,90
0.1,0.9076923075526628,0.9076923075526628,0.9076923025526629,0.9259259259259259,59,6,6,91
0.15000000000000002,0.9062499998583985,0.8923076921704143,0.8992248010624364,0.9197530864197531,58,6,7,91
0.2,0.9032258063059313,0.8615384614059173,0.8818897586434373,0.9074074074074074,56,6,9,91
0.25,0.9016393441144853,0.8461538460236687,0.8730158678823382,0.9012345679012346,55,6,10,91
0.3,0.8965517239833531,0.7999999998769232,0.8455284501632627,0.8827160493827161,52,6,13,91
0.35000000000000003,0.8947368419482917,0.7846153844946746,0.8360655686549314,0.8765432098765432,51,6,14,91
0.4,0.8947368419482917,0.7846153844946746,0.8360655686549314,0.8765432098765432,51,6,14,91
0.45,0.9090909089256198,0.7692307691124262,0.8333333282291668,0.8765432098765432,50,5,15,92
0.5,0.9090909089256198,0.7692307691124262,0.8333333282291668,0.8765432098765432,50,5,15,92
0.55,0.907407407239369,0.7538461537301776,0.8235294066690205,0.8703703703703703,49,5,16,92
0.6000000000000001,0.9038461536723372,0.7230769229656805,0.8034187983431952,0.8580246913580247,47,5,18,92
0.6500000000000001,0.89999999982,0.6923076922011835,0.7826086906011344,0.845679012345679,45,5,20,92
0.7000000000000001,0.8958333331467013,0.6615384614366865,0.7610619418811184,0.8333333333333334,43,5,22,92
0.7500000000000001,0.8936170210864645,0.6461538460544379,0.7499999949952169,0.8271604938271605,42,5,23,92
0.8,0.9069767439751216,0.5999999999076924,0.7222222172959536,0.8148148148148148,39,4,26,93
0.8500000000000001,0.9069767439751216,0.5999999999076924,0.7222222172959536,0.8148148148148148,39,4,26,93
0.9000000000000001,0.9047619045464852,0.5846153845254438,0.7102803689300377,0.808641975308642,38,4,27,93
0.9500000000000001,0.899999999775,0.5538461537609468,0.6857142808671203,0.7962962962962963,36,4,29,93
