file,id,label,accepted,score,begin_time_s,end_time_s,call_length_s,principal_freq_hz,low_freq_hz,high_freq_hz,bandwidth_hz,freq_std_dev_hz,slope,sinuosity,mean_power_db,tonality,peak_freq_khz,source_file,wav_stem,det_start_s,det_end_s,det_duration_ms,det_index,det_prob_max,det_prob_mean,det_user_action,det_json_path,match_quality,match_distance_ms,peak_freq_hz
2024-09-30_11-18-17_0000001,1.0,Cluster_14,1.0,1.0,0.7893933333333334,0.8108866666666666,0.021493333333333253,70.71428571428572,62.142857142857146,113.57142857142857,51.42857142857142,10.812706363755005,-174.5878237818126,5.080432722392367,-77.01613800937199,0.18975046901235032,66.42857142857143,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,0.77312,0.8157866666666667,42.66666666666663,0,0.07447855919599533,0.05073287710547447,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_000_0.773s-0.816s.json,fuzzy,16.273,
2024-09-30_11-18-17_0000001,2.0,Cluster_14,1.0,1.0,1.08076,1.1106266666666667,0.029866666666666708,63.671875,61.328125,105.859375,44.53125,8.502652627434504,-316.50070986739547,2.2004750510951796,-69.64047895382237,0.2517297338965304,63.671875,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,1.0589866666666667,1.1229866666666666,63.99999999999984,1,0.10325021296739578,0.06920048594474792,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_001_1.059s-1.123s.json,fuzzy,21.773,
2024-09-30_11-18-17_0000001,3.0,Cluster_14,1.0,1.0,1.1958933333333333,1.2387666666666666,0.04287333333333332,64.07563025210084,61.554621848739494,106.9327731092437,45.378151260504204,9.743957426391678,-509.21756228078056,1.7798306594081408,-70.17670171400265,0.25710132329167307,65.33613445378151,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,1.19552,1.2509866666666667,55.466666666666775,2,0.10344238579273224,0.071260467171669,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_002_1.196s-1.251s.json,fuzzy,0.373,
2024-09-30_11-18-17_0000001,4.0,Cluster_14,1.0,1.0,1.3238933333333331,1.3667666666666665,0.04287333333333332,64.07563025210084,61.554621848739494,106.9327731092437,45.378151260504204,9.743957426391678,-509.21756228078056,1.7798306594081408,-70.17663447735924,0.2570790385619485,65.33613445378151,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,1.32352,1.3789866666666666,55.466666666666555,3,0.1040118932723999,0.07160491496324539,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_003_1.324s-1.379s.json,fuzzy,0.373,
2024-09-30_11-18-17_0000001,5.0,Cluster_14,1.0,1.0,1.4518933333333333,1.4947666666666666,0.04287333333333332,64.07563025210084,61.554621848739494,106.9327731092437,45.378151260504204,9.743957426391678,-509.21756228078056,1.7798306594081408,-70.17646228605464,0.2570071999053799,65.33613445378151,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,1.45152,1.5069866666666667,55.466666666666775,4,0.10371838510036469,0.07150518894195557,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_004_1.452s-1.507s.json,fuzzy,0.373,
2024-09-30_11-18-17_0000001,6.0,Cluster_14,1.0,1.0,1.5798933333333331,1.6227666666666665,0.04287333333333332,64.07563025210084,61.554621848739494,106.9327731092437,45.378151260504204,9.743957426391678,-509.21756228078056,1.7798306594081408,-70.17663481577777,0.25701254773939425,65.33613445378151,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,1.57952,1.6349866666666666,55.466666666666555,5,0.10313188284635544,0.07129471749067307,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_005_1.580s-1.635s.json,fuzzy,0.373,
2024-09-30_11-18-17_0000001,7.0,Cluster_14,1.0,1.0,1.7078933333333333,1.7507666666666666,0.04287333333333332,64.07563025210084,61.554621848739494,106.9327731092437,45.378151260504204,9.743957426391678,-509.21756228078056,1.7798306594081408,-70.1767017269343,0.257102100887657,65.33613445378151,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,1.70752,1.7629866666666667,55.466666666666775,6,0.10320258140563965,0.07115820795297623,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_006_1.708s-1.763s.json,fuzzy,0.373,
2024-09-30_11-18-17_0000001,8.0,Cluster_14,1.0,1.0,1.8358933333333332,1.8787666666666665,0.04287333333333332,64.07563025210084,61.554621848739494,106.9327731092437,45.378151260504204,9.743957426391678,-509.21756228078056,1.7798306594081408,-70.17646229469848,0.2570072167094236,65.33613445378151,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,1.83552,1.8909866666666666,55.466666666666555,7,0.10371838510036469,0.0716930478811264,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_007_1.836s-1.891s.json,fuzzy,0.373,
2024-09-30_11-18-17_0000001,9.0,Cluster_22,1.0,1.0,2.06122,2.0815200000000003,0.020300000000000207,74.43181818181819,69.31818181818181,81.25,11.931818181818187,4.776908121107605,659.8971078811455,1.0293844933553542,-71.98269308834166,0.24616580620479467,72.72727272727272,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,2.05312,2.0829866666666668,29.86666666666693,8,0.10351961851119995,0.06303812563419342,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_008_2.053s-2.083s.json,fuzzy,8.1,
2024-09-30_11-18-17_0000001,10.0,Cluster_4,1.0,1.0,2.76957,2.7832,0.013630000000000031,65.9090909090909,28.40909090909091,123.86363636363636,95.45454545454545,16.044680818237975,685.8811787615875,5.220878934364558,-75.93019516611727,0.19169699188424605,65.9090909090909,classified_Stats.xlsx,2024-09-30_11-18-17_0000001,2.75712,2.7869866666666665,29.866666666666486,9,0.04834098368883133,0.041911832988262177,,USV_Detections/5970/2024-09-30_11-18-17_0000001/detection_009_2.757s-2.787s.json,fuzzy,12.45,
