candidate_id,source_file,source_path,start_ms,end_ms,duration_ms,max_prob,spectrogram_path
2024-09-30_11-22-01_0000050_00000000,2024-09-30_11-22-01_0000050.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-22-01_0000050.wav,0.0,760.0,760.0,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-22-01_0000050_00000000.png
2024-09-30_11-22-01_0000050_00000800,2024-09-30_11-22-01_0000050.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-22-01_0000050.wav,800.0,880.0,80.0,0.996875524520874,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-22-01_0000050_00000800.png
2024-09-30_11-22-01_0000050_00001000,2024-09-30_11-22-01_0000050.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-22-01_0000050.wav,1000.0,1040.0,40.0,0.98624587059021,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-22-01_0000050_00001000.png
2024-09-30_11-22-01_0000050_00001120,2024-09-30_11-22-01_0000050.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-22-01_0000050.wav,1120.0,1200.0,80.0,0.9973235726356506,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-22-01_0000050_00001120.png
2024-09-30_11-22-01_0000050_00001280,2024-09-30_11-22-01_0000050.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-22-01_0000050.wav,1280.0,1320.0,40.0,0.9743650555610657,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-22-01_0000050_00001280.png
2024-09-30_11-22-01_0000050_00001400,2024-09-30_11-22-01_0000050.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-22-01_0000050.wav,1400.0,1440.0,40.0,0.9583665132522583,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-22-01_0000050_00001400.png
2024-09-30_11-22-01_0000050_00001520,2024-09-30_11-22-01_0000050.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-22-01_0000050.wav,1520.0,2040.0,520.0,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-22-01_0000050_00001520.png
2024-09-30_11-22-01_0000050_00002080,2024-09-30_11-22-01_0000050.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-22-01_0000050.wav,2080.0,2146.88,66.88000000000011,0.9999891519546509,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-22-01_0000050_00002080.png
2024-09-30_11-20-09_0000021_00000000,2024-09-30_11-20-09_0000021.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-20-09_0000021.wav,0.0,920.0,920.0,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-20-09_0000021_00000000.png
2024-09-30_11-20-09_0000021_00000960,2024-09-30_11-20-09_0000021.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-20-09_0000021.wav,960.0,3020.6933333333336,2060.6933333333336,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-20-09_0000021_00000960.png
2024-09-30_11-19-09_0000008_00000000,2024-09-30_11-19-09_0000008.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-19-09_0000008.wav,0.0,4440.0,4440.0,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-19-09_0000008_00000000.png
2024-09-30_11-21-34_0000043_00000000,2024-09-30_11-21-34_0000043.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-21-34_0000043.wav,0.0,2240.0,2240.0,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-21-34_0000043_00000000.png
2024-09-30_11-21-34_0000043_00002320,2024-09-30_11-21-34_0000043.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-21-34_0000043.wav,2320.0,6734.4,4414.4,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-21-34_0000043_00002320.png
2024-09-30_11-19-38_0000015_00000000,2024-09-30_11-19-38_0000015.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-19-38_0000015.wav,0.0,14880.0,14880.0,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-19-38_0000015_00000000.png
2024-09-30_11-19-38_0000015_00014920,2024-09-30_11-19-38_0000015.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-19-38_0000015.wav,14920.0,16400.0,1480.0,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-19-38_0000015_00014920.png
2024-09-30_11-20-41_0000029_00000000,2024-09-30_11-20-41_0000029.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-20-41_0000029.wav,0.0,4331.413333333333,4331.413333333333,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-20-41_0000029_00000000.png
2024-09-30_11-21-24_0000039_00000000,2024-09-30_11-21-24_0000039.wav,D:\mickey_london_lab\5970 USV\2024-09-30_11-21-24_0000039.wav,0.0,2146.88,2146.88,1.0,D:\mickey_london_lab\analysis\5970_USV_detections_merged\spectrograms\2024-09-30_11-21-24_0000039_00000000.png
