stem,detection_idx,start_time_s,end_time_s,duration_s,max_probability,mean_probability,window_count,start_window,end_window
2024-10-06_14-58-31_0000121,0,1.02912,1.06752,0.03839999999999999,0.9380964636802673,0.8844975411891938,90,2360,2450
2024-10-06_15-00-22_0000127,0,1.0376533333333333,1.0845866666666666,0.04693333333333327,0.9679009914398193,0.8827930043141047,110,2380,2490
2024-10-06_15-03-22_0000144,0,1.55392,1.6392533333333332,0.08533333333333326,0.8569706678390503,0.7086377853438968,200,3590,3790
2024-10-06_15-07-36_0000160,0,1.6008533333333332,1.6989866666666666,0.0981333333333334,0.8946454524993896,0.7423940065006415,230,3700,3930
2024-10-06_15-07-48_0000162,0,1.51552,1.56672,0.05119999999999991,0.882440447807312,0.7317880483774039,120,3500,3620
2024-10-06_15-19-18_0000215,0,1.5837866666666667,1.66912,0.08533333333333326,0.9459187388420105,0.8257097176143101,200,3660,3860
2024-10-06_15-28-21_0000272,0,1.4728533333333333,1.52832,0.05546666666666655,0.8806683421134949,0.7140405497380665,130,3400,3530
2024-10-06_15-34-46_0000298,0,0.9480533333333333,0.9992533333333333,0.05120000000000002,0.8942572474479675,0.7425963488908914,120,2170,2290
2024-10-06_15-34-46_0000298,1,1.6221866666666667,1.72032,0.0981333333333334,0.9306886792182922,0.8430023044347763,230,3750,3980
2024-10-06_15-35-41_0000308,0,2.6248533333333333,2.71872,0.09386666666666654,0.9529948830604553,0.7702735481054886,220,6100,6320
2024-10-06_15-39-52_0000326,0,1.9720533333333334,2.070186666666667,0.0981333333333334,0.913568377494812,0.6327680299679438,230,4570,4800
2024-10-06_15-53-03_0000369,0,1.04192,1.09312,0.051200000000000134,0.9533695578575134,0.802362682727667,120,2390,2510
2024-10-06_15-54-05_0000377,0,0.95232,1.0120533333333332,0.059733333333333194,0.987571120262146,0.8573070486386617,140,2180,2320
2024-10-06_16-01-56_0000400,0,0.99072,1.0632533333333334,0.07253333333333334,0.99247145652771,0.862028236190478,170,2270,2440
