epoch,total,nt,recon,kl,lc,deriv,w_recon,w_beta,w_deriv
63,24067.23200,3.75823,9456.56231,257.43503,215.68551,233620.88019,0.0500,0.0500,0.1000
64,23691.32827,3.75602,9451.32560,255.81830,213.41493,229887.99718,0.0500,0.0500,0.1000
65,23433.51685,3.75679,9423.60731,254.13457,210.02818,227358.44370,0.0500,0.0500,0.1000
66,23276.50753,3.77048,9442.93665,253.91401,213.94366,225739.50483,0.0500,0.0500,0.1000
67,22863.58881,3.76865,9494.74334,251.46031,212.54661,221599.62979,0.0500,0.0500,0.1000
68,22649.67061,3.76814,9562.77172,250.01908,206.89637,219483.66229,0.0500,0.0500,0.1000
69,22496.12729,3.76574,9532.76999,249.21299,206.33130,217969.30751,0.0500,0.0500,0.1000
70,22135.21582,3.76383,9629.23750,248.09526,203.23814,214343.46939,0.0500,0.0500,0.1000
71,21797.42312,3.76050,9577.06252,246.36301,203.75252,210987.38442,0.0500,0.0500,0.1000
72,21714.23208,3.76059,9663.77715,245.20786,201.76091,210132.60994,0.0500,0.0500,0.1000
73,21390.01728,3.76249,9719.54814,245.23038,202.71099,206853.04498,0.0500,0.0500,0.1000
74,21131.61831,3.75625,9813.27953,243.94794,198.79805,204262.02328,0.0500,0.0500,0.1000
75,20979.48633,3.75604,9796.51260,243.83433,198.00207,202757.10478,0.0500,0.0500,0.1000
76,20739.86870,3.76738,9844.26681,242.18962,195.97156,200358.06552,0.0500,0.0500,0.1000
77,20540.48190,3.76997,9967.28808,243.81190,198.02570,198281.30863,0.0500,0.0500,0.1000
78,20263.68947,3.77643,9960.56750,242.50307,198.55978,195511.99404,0.0500,0.0500,0.1000
79,19916.53895,3.78995,9995.49728,240.41741,196.95137,192040.01542,0.0500,0.0500,0.1000
